RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,NORA HALLORAN,IN_TRAINING,CLUB RS 400,13:30:00,14:17:53,,1040
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,OSCAR PEREIRA,GRACE,CLUB RS 400,13:35:00,14:15:46,,1040
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,QUINN ABERNATHY,GRACE,CLUB ILCA 7 / LASER,13:45:00,14:24:42,,1150
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,FRANCES OKONKWO,CHIDI,CLUB ILCA 7 / LASER,13:30:00,14:26:20,,1150
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,MILO SCHWARTZ,BENNY,CLUB NACRA15,13:40:00,,DNF,960
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,DANA REYES,MEMBER,CLUB ILCA 7 / LASER,13:35:00,14:32:39,,1150
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,ROWAN STEELE,DESMOND,CLUB ENTERPRISE,13:30:00,14:26:12,,1130
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,WREN ASHBY,IN_TRAINING,CLUB ENTERPRISE_CLASSIC,13:45:00,,DNF,1150
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,KAI NAKAMURA,MEMBER,CLUB LASER,13:40:00,14:43:52,,1150
12/07/2025,1,1019-AUTUMN CHALLENGE CUP,GIO BERGAMINI,GRACE,CLUB HOBIE16,13:35:00,14:33:03,,920
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
