RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
01/11/2026,1,1024-CLUB RACE,INES VALLERO,IN_TRAINING,CLUB ENTERPRISE_CLASSIC,13:30:00,14:25:29,,1150
01/11/2026,1,1024-CLUB RACE,YUSUF DEMIR,DESMOND,CLUB NACRA15,13:45:00,14:36:18,,960
01/11/2026,1,1024-CLUB RACE,OSCAR PEREIRA,MEMBER,CLUB RS 400,13:30:00,14:26:19,,1040
01/11/2026,1,1024-CLUB RACE,CASEY DUVAL,GRACE,CLUB LASER,13:40:00,14:46:02,,1150
01/11/2026,1,1024-CLUB RACE,FRANCES OKONKWO,NOCREW,CLUB ILCA 7 / LASER,13:45:00,14:36:03,,1150
01/11/2026,1,1024-CLUB RACE,QUINN ABERNATHY,MEMBER,CLUB ILCA 7 / LASER,13:45:00,14:33:48,,1150
01/11/2026,1,1024-CLUB RACE,WREN ASHBY,CHIDI,CLUB ENTERPRISE_CLASSIC,13:35:00,14:37:25,,1150
01/11/2026,1,1024-CLUB RACE,PRIYA RAMADAS,DESMOND,CLUB ENTERPRISE,13:35:00,14:23:37,,1130
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
