RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
02/15/2026,1,1029-CLUB RACE,OSCAR PEREIRA,HIRO,CLUB RS 400,13:40:00,14:31:07,,1040
02/15/2026,1,1029-CLUB RACE,KAI NAKAMURA,JUNO,CLUB LASER,13:40:00,14:29:40,,1150
02/15/2026,1,1029-CLUB RACE,DANA REYES,BENNY,CLUB ILCA 7 / LASER,13:45:00,14:43:20,,1150
02/15/2026,1,1029-CLUB RACE,ELLIOT FROST,JUNO,CLUB LASER,13:30:00,,DNF,1150
02/15/2026,1,1029-CLUB RACE,FRANCES OKONKWO,CHIDI,CLUB ILCA 7 / LASER,13:30:00,14:20:05,,1150
02/15/2026,1,1029-CLUB RACE,WREN ASHBY,HIRO,CLUB ENTERPRISE_CLASSIC,13:40:00,14:28:20,,1150
02/15/2026,1,1029-CLUB RACE,INES VALLERO,ESTER,CLUB ENTERPRISE_CLASSIC,13:35:00,14:14:12,,1150
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
