RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
04/05/2026,1,1036-CLUB RACE,DANA REYES,HIRO,CLUB ILCA 7 / LASER,13:40:00,14:27:26,,1150
04/05/2026,1,1036-CLUB RACE,QUINN ABERNATHY,FELIPE,CLUB ILCA 7 / LASER,13:45:00,14:32:12,,1150
04/05/2026,1,1036-CLUB RACE,GIO BERGAMINI,JUNO,CLUB HOBIE16,13:30:00,14:22:58,,860
04/05/2026,1,1036-CLUB RACE,MILO SCHWARTZ,MEMBER,CLUB NACRA15,13:40:00,14:19:22,,900
04/05/2026,1,1036-CLUB RACE,OSCAR PEREIRA,MEMBER,CLUB RS 400,13:30:00,14:20:13,,1040
04/05/2026,1,1036-CLUB RACE,TARIQ BENNANI,GRACE,CLUB LASER,13:40:00,14:32:23,,1150
04/05/2026,1,1036-CLUB RACE,INES VALLERO,FELIPE,CLUB ENTERPRISE_CLASSIC,13:45:00,14:35:11,,1150
04/05/2026,1,1036-CLUB RACE,SASHA VOLKOV,BENNY,CLUB HOBIE16,13:30:00,14:06:53,,860
04/05/2026,1,1036-CLUB RACE,YUSUF DEMIR,CHIDI,CLUB NACRA15,13:35:00,14:24:33,,900
04/05/2026,1,1036-CLUB RACE,JORDAN ASHWELL,NOCREW,CLUB LASER,13:45:00,14:39:08,,1150
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
