RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
10/19/2025,1,1012-CLUB RACE,LENA LUNDGREN,JUNO,CLUB LASER,13:30:00,14:14:23,,1150
10/19/2025,1,1012-CLUB RACE,TARIQ BENNANI,DESMOND,CLUB LASER,13:40:00,14:31:23,,1150
10/19/2025,1,1012-CLUB RACE,DANA REYES,FELIPE,CLUB ILCA 7 / LASER,13:40:00,14:40:01,,1150
10/19/2025,1,1012-CLUB RACE,VIKRAM CHANDRA,ESTER,CLUB RS 400,13:45:00,14:31:09,,1040
10/19/2025,1,1012-CLUB RACE,QUINN ABERNATHY,JUNO,CLUB ILCA 7 / LASER,13:30:00,14:12:43,,1150
10/19/2025,1,1012-CLUB RACE,MILO SCHWARTZ,JUNO,CLUB NACRA15,13:30:00,14:22:48,,900
10/19/2025,1,1012-CLUB RACE,SASHA VOLKOV,DESMOND,CLUB HOBIE16,13:45:00,14:36:00,,860
10/19/2025,1,1012-CLUB RACE,ELLIOT FROST,ESTER,CLUB LASER,13:40:00,14:46:25,,1150
10/19/2025,1,1012-CLUB RACE,WREN ASHBY,CHIDI,CLUB ENTERPRISE_CLASSIC,13:30:00,14:23:40,,1150
10/19/2025,1,1012-CLUB RACE,PRIYA RAMADAS,IN_TRAINING,CLUB ENTERPRISE,13:40:00,14:25:47,,1130
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
