RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
03/22/2026,1,1034-CLUB RACE,JORDAN ASHWELL,JUNO,CLUB LASER,13:30:00,14:10:42,,1150
03/22/2026,1,1034-CLUB RACE,ELLIOT FROST,JUNO,CLUB LASER,13:35:00,,DNF,1150
03/22/2026,1,1034-CLUB RACE,OSCAR PEREIRA,ESTER,CLUB RS 400,13:35:00,14:31:25,,1040
03/22/2026,1,1034-CLUB RACE,WREN ASHBY,BENNY,CLUB ENTERPRISE_CLASSIC,13:35:00,14:23:43,,1150
03/22/2026,1,1034-CLUB RACE,SASHA VOLKOV,ESTER,CLUB HOBIE16,13:30:00,14:22:14,,920
03/22/2026,1,1034-CLUB RACE,DANA REYES,IN_TRAINING,CLUB ILCA 7 / LASER,13:35:00,14:26:17,,1150
03/22/2026,1,1034-CLUB RACE,NORA HALLORAN,IN_TRAINING,CLUB RS 400,13:45:00,14:32:47,,1040
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
