RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
10/26/2025,1,1013-CLUB RACE,WREN ASHBY,MEMBER,CLUB ENTERPRISE_CLASSIC,13:40:00,14:33:15,,1150
10/26/2025,1,1013-CLUB RACE,SASHA VOLKOV,GRACE,CLUB HOBIE16,13:35:00,14:31:49,,860
10/26/2025,1,1013-CLUB RACE,VIKRAM CHANDRA,JUNO,CLUB RS 400,13:45:00,14:46:25,,1040
10/26/2025,1,1013-CLUB RACE,FRANCES OKONKWO,GRACE,CLUB ILCA 7 / LASER,13:40:00,14:33:06,,1150
10/26/2025,1,1013-CLUB RACE,MILO SCHWARTZ,MEMBER,CLUB NACRA15,13:45:00,14:28:32,,900
10/26/2025,1,1013-CLUB RACE,ULRIKA NESS,FELIPE,CLUB MIRROR,13:35:00,14:39:30,,1350
10/26/2025,1,1013-CLUB RACE,ALEX MORGAN,ESTER,CLUB NACRA15,13:40:00,14:27:04,,900
10/26/2025,1,1013-CLUB RACE,JORDAN ASHWELL,ESTER,CLUB LASER,13:45:00,14:36:54,,1150
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
