RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
01/18/2026,1,1025-CLUB RACE,DANA REYES,HIRO,CLUB ILCA 7 / LASER,13:40:00,14:23:23,,1150
01/18/2026,1,1025-CLUB RACE,ROWAN STEELE,FELIPE,CLUB ENTERPRISE,13:40:00,14:24:19,,1130
01/18/2026,1,1025-CLUB RACE,ALEX MORGAN,CHIDI,CLUB NACRA15,13:40:00,14:38:18,,960
01/18/2026,1,1025-CLUB RACE,CASEY DUVAL,HIRO,CLUB LASER,13:40:00,14:33:29,,1150
01/18/2026,1,1025-CLUB RACE,GIO BERGAMINI,NOCREW,CLUB HOBIE16,13:45:00,14:33:47,,920
01/18/2026,1,1025-CLUB RACE,ELLIOT FROST,IN_TRAINING,CLUB LASER,13:35:00,14:21:09,,1150
01/18/2026,1,1025-CLUB RACE,KAI NAKAMURA,MEMBER,CLUB LASER,13:30:00,14:26:04,,1150
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
