RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
02/22/2026,1,1030-CLUB RACE,LENA LUNDGREN,HIRO,CLUB LASER,13:30:00,14:23:38,,1150
02/22/2026,1,1030-CLUB RACE,YUSUF DEMIR,FELIPE,CLUB NACRA15,13:45:00,14:42:43,,960
02/22/2026,1,1030-CLUB RACE,INES VALLERO,DESMOND,CLUB ENTERPRISE_CLASSIC,13:40:00,14:28:27,,1150
02/22/2026,1,1030-CLUB RACE,QUINN ABERNATHY,CHIDI,CLUB ILCA 7 / LASER,13:35:00,14:25:51,,1150
02/22/2026,1,1030-CLUB RACE,ULRIKA NESS,CHIDI,CLUB MIRROR,13:45:00,14:30:51,,1350
02/22/2026,1,1030-CLUB RACE,PRIYA RAMADAS,FELIPE,CLUB ENTERPRISE,13:40:00,14:26:57,,1130
02/22/2026,1,1030-CLUB RACE,BLAIR HUTTON,ESTER,CLUB ILCA 7 / LASER,13:30:00,14:13:37,,1150
02/22/2026,1,1030-CLUB RACE,VIKRAM CHANDRA,DESMOND,CLUB RS 400,13:45:00,14:34:19,,1040
02/22/2026,1,1030-CLUB RACE,OSCAR PEREIRA,NOCREW,CLUB RS 400,13:40:00,14:34:39,,1040
02/22/2026,1,1030-CLUB RACE,SASHA VOLKOV,NOCREW,CLUB HOBIE16,13:30:00,14:18:31,,920
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
