RaceDate,RaceNo,RaceName,HelmName,CrewName,Class,Start,Finish,Code,Rating
09/28/2025,1,1009-CLUB RACE,ELLIOT FROST,GRACE,CLUB LASER,13:35:00,14:23:45,,1150
09/28/2025,1,1009-CLUB RACE,ROWAN STEELE,MEMBER,CLUB ENTERPRISE,13:45:00,14:28:12,,1130
09/28/2025,1,1009-CLUB RACE,TARIQ BENNANI,CHIDI,CLUB LASER,13:40:00,14:31:28,,1150
09/28/2025,1,1009-CLUB RACE,WREN ASHBY,MEMBER,CLUB ENTERPRISE_CLASSIC,13:30:00,14:11:46,,1150
09/28/2025,1,1009-CLUB RACE,CASEY DUVAL,MEMBER,CLUB LASER,13:35:00,14:17:40,,1150
09/28/2025,1,1009-CLUB RACE,YUSUF DEMIR,HIRO,CLUB NACRA15,13:45:00,14:46:11,,900
09/28/2025,1,1009-CLUB RACE,XIMENA CRUZ,BENNY,CLUB ILCA 7 / LASER,13:45:00,14:39:37,,1150
09/28/2025,1,1009-CLUB RACE,HARPER LINDQVIST,GRACE,CLUB WAYFARER_CLASSIC,13:35:00,14:15:01,,1120
09/28/2025,1,1009-CLUB RACE,FRANCES OKONKWO,IN_TRAINING,CLUB ILCA 7 / LASER,13:35:00,14:22:00,,1150
09/28/2025,1,1009-CLUB RACE,MILO SCHWARTZ,GRACE,CLUB NACRA15,13:40:00,14:19:30,,900
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
